PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 72905_1,HD 72905,0.661,0.069,0.5,0.051,14.439,1.08,0.973,0.044,245.309,0.63,0.309,0,0,1,2035.0
HD 72905_3,HD 72905,0.899,0.099,2.776,19.234,14.439,1.08,0.973,0.043,36.629,0.869,0.751,0,0,1,2035.0
HD 72905_4,HD 72905,0.923,0.214,1.407,2.24,14.439,1.08,0.973,0.033,52.941,0.739,0.795,0,0,1,2035.0
HD 72905_5,HD 72905,3.175,0.086,0.525,0.068,14.439,1.08,0.973,0.125,106.837,2.955,0.028,0,0,1,2035.0
HD 219134_0,HD 219134,1.298,0.068,3.021,11.197,6.542,0.75,0.266,0.136,330.816,1.243,0.05,1,1,1,2035.0
HD 219134_1,HD 219134,0.107,0.06,0.589,0.114,6.542,0.75,0.266,0.011,278.931,0.11,0.782,0,0,1,2035.0
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.073,125.829,0.479,0.357,1,1,1,2035.0
HD 219134_3,HD 219134,2.999,0.067,1.913,4.52,6.542,0.75,0.266,0.414,164.284,2.86,0.173,0,0,1,2035.0
HD 219134_4,HD 219134,0.285,0.083,1.716,4.805,6.542,0.75,0.266,0.04,20.064,0.263,0.253,0,0,1,2035.0
HD 219134_5,HD 219134,1.823,0.052,1.09,4.144,6.542,0.75,0.266,0.201,27.058,1.895,0.765,1,1,1,2035.0
HD 219134_7,HD 219134,0.986,0.056,2.277,3.449,6.542,0.75,0.266,0.147,82.256,1.036,0.153,1,1,1,2035.0
HD 149661_2,HD 149661,2.991,0.073,1.285,2.935,9.894,0.87,0.462,0.306,274.028,3.154,0.47,0,0,1,2035.0
HD 149661_3,HD 149661,2.364,0.065,0.7,0.315,9.894,0.87,0.462,0.197,68.565,2.351,0.09,0,0,1,2035.0
HD 149661_5,HD 149661,3.155,0.051,2.936,7.428,9.894,0.87,0.462,0.263,26.91,2.996,0.606,1,1,1,2035.0
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.054,110.52,0.779,0.068,0,0,1,2035.0
HD 3651 A_3,HD 3651 A,0.106,0.12,3.284,8.237,11.108,0.86,0.532,0.002,317.141,0.102,0.968,0,0,1,2035.0
HD 3651 A_5,HD 3651 A,0.552,0.025,0.534,0.148,11.108,0.86,0.532,0.051,182.929,0.566,0.256,0,0,1,2035.0
HD 192310_0,HD 192310,1.267,0.07,0.641,0.14,8.812,0.77,0.404,0.119,5.322,1.253,0.093,0,0,1,2035.001
HD 192310_1,HD 192310,1.472,0.082,2.73,7.674,8.812,0.77,0.404,0.166,46.172,1.593,0.148,1,1,1,2035.001
HD 192310_2,HD 192310,0.631,0.109,2.544,13.411,8.812,0.77,0.404,0.079,232.768,0.699,0.295,1,1,1,2035.001
HD 192310_3,HD 192310,0.091,0.084,2.458,12.572,8.812,0.77,0.404,0.009,322.086,0.084,0.238,0,0,1,2035.001
HD 131156 A_0,HD 131156 A,0.922,0.01,2.426,6.027,6.754,0.96,0.553,0.137,106.307,0.927,0.32,1,1,1,2035.001
