PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 10700_0,HD 10700,1.625,0.099,0.563,0.125,3.652,0.94,0.506,0.44,30.482,1.679,0.476,0,0,1,2035.047
HD 146233_0,HD 146233,0.356,0.047,2.679,12.782,14.137,1.02,1.094,0.024,180.646,0.34,0.292,0,0,1,2035.048
HD 146233_1,HD 146233,0.206,0.044,2.032,4.046,14.137,1.02,1.094,0.012,148.85,0.198,0.657,0,0,1,2035.048
HD 146233_4,HD 146233,0.539,0.141,1.433,2.618,14.137,1.02,1.094,0.03,315.841,0.506,0.091,0,0,1,2035.048
HD 20794_0,HD 20794,4.322,0.17,2.962,9.511,6.041,0.97,0.654,0.414,145.697,4.564,0.02,0,0,1,2035.049
HD 20794_1,HD 20794,2.398,0.095,1.302,1.37,6.041,0.97,0.654,0.214,334.523,2.255,0.023,0,0,1,2035.049
HD 155886_1,HD 155886,0.511,0.064,0.698,0.774,5.952,0.85,0.327,0.086,122.921,0.543,0.169,1,1,1,2035.051
HD 155886_2,HD 155886,0.232,0.069,1.589,3.614,5.952,0.85,0.327,0.017,330.861,0.216,0.013,0,0,1,2035.051
HD 155886_3,HD 155886,1.253,0.044,2.915,7.412,5.952,0.85,0.327,0.209,190.448,1.262,0.24,1,1,1,2035.051
HD 155886_4,HD 155886,0.305,0.028,0.94,0.303,5.952,0.85,0.327,0.023,255.876,0.304,0.902,0,0,1,2035.051
HD 155886_5,HD 155886,0.201,0.128,1.339,4.271,5.952,0.85,0.327,0.034,17.207,0.226,0.135,0,0,1,2035.051
HD 155886_6,HD 155886,0.316,0.044,0.948,2.64,5.952,0.85,0.327,0.054,260.238,0.33,0.207,0,0,1,2035.051
HD 155886_7,HD 155886,0.59,0.079,3.352,14.032,5.952,0.85,0.327,0.103,48.91,0.625,0.412,1,1,1,2035.051
HD 155886_8,HD 155886,3.879,0.087,2.635,8.111,5.952,0.85,0.327,0.672,155.647,4.152,0.196,0,0,1,2035.051
HD 102365_0,HD 102365,1.154,0.024,2.235,5.761,9.319,1.02,0.844,0.116,122.965,1.126,0.194,0,0,1,2035.052
HD 102365_1,HD 102365,4.021,0.031,1.113,1.591,9.319,1.02,0.844,0.332,280.988,4.146,0.059,0,0,1,2035.052
HD 102365_2,HD 102365,0.113,0.031,0.976,1.372,9.319,1.02,0.844,0.009,204.773,0.115,0.723,0,0,1,2035.052
HD 155885_0,HD 155885,0.424,0.016,1.08,0.596,5.948,0.85,0.332,0.072,255.502,0.43,0.283,1,1,1,2035.053
HD 155885_1,HD 155885,0.125,0.137,2.355,5.439,5.948,0.85,0.332,0.014,128.77,0.124,0.783,0,0,1,2035.053
HD 155885_4,HD 155885,2.293,0.052,0.991,0.938,5.948,0.85,0.332,0.255,57.888,2.371,0.803,0,0,1,2035.053
HD 50692_0,HD 50692,3.95,0.04,2.831,7.857,17.405,1.08,1.293,0.173,242.357,4.0,0.72,1,1,1,2035.055
HD 50692_1,HD 50692,0.28,0.064,0.734,0.807,17.405,1.08,1.293,0.01,176.732,0.264,0.043,0,0,1,2035.055
