StarName,NObs,LastObs
HD 43386,2,2036.0159652019775
HD 212330 A,2,2036.0239786617535
HD 141004,2,2036.0254072069683
HD 4614 A,2,2036.028555612369
HD 58855,2,2036.0299254753827
HD 10476,6,2036.0312953383964
HD 160691,2,2036.0377880500348
HD 38392,8,2036.0519627672716
HD 146233,4,2036.0551497733568
HD 102365,3,2036.0575174940632
HD 38393,3,2036.0644098916796
HD 10361,4,2036.0868128349102
HD 20766,3,2036.0922728536582
HD 155885,2,2036.1012790644043
HD 69897,3,2036.102648927418
HD 201092,2,2036.1040187904316
HD 131977,2,2036.1069332810887
HD 88230,2,2036.110322173156
HD 4628,2,2036.1116920361696
HD 149661,2,2036.1170485955206
HD 100623 A,2,2036.1218918984043
HD 115617,3,2036.1251549792187
HD 219134,3,2036.1270268918415
HD 217987,2,2036.131346435754
HD 82885 A,5,2036.140713361995
HD 203608,3,2036.1456760565825
HD 114710,3,2036.1547272499097
HD 190360,3,2036.1603452700424
HD 65907 A,3,2036.1642412193733
HD 156274 A,7,2036.165840428413
HD 20794,6,2036.2012218441344
HD 10700,7,2036.2027710606135
HD 140538 A,5,2036.2048258276534
HD 156026,3,2036.2063978943684
HD 10476,7,2036.2163678006955
HD 128621,3,2036.2228892515905
HD 50692,3,2036.224709798215
HD 95735,4,2036.2260796612286
HD 43042,3,2036.2435571339468
HD 10780,4,2036.2464171099982
HD 90839,4,2036.259643086127
HD 4391,5,2036.264204394026
HD 17925,4,2036.3071762888276
HD 30495,3,2036.321625841359
HD 165499,3,2036.3380011946645
HD 219134,4,2036.3398554062605
HD 156274 A,8,2036.345140313497
HD 4813,4,2036.3465101765107
HD 1581,3,2036.3478800395244
HD 128620,3,2036.3492596492483
HD 3651 A,3,2036.350629512262
HD 35296,4,2036.3539199190081
HD 155885,3,2036.360092375396
HD 17051,4,2036.3662141591008
HD 20807,3,2036.3675840221144
HD 146233,5,2036.3822088302295
HD 95128,3,2036.3935656937742
HD 10700,8,2036.394935556788
HD 10361,5,2036.3963054198016
HD 10476,8,2036.4014402629946
HD 82885 A,6,2036.4060286887955
HD 20794,7,2036.4292903927496
HD 209100,4,2036.436384143423
HD 20630,3,2036.4420049870996
HD 26965 A,4,2036.456708608772
HD 166,3,2036.4815308407324
HD 84117,4,2036.482900703746
HD 140538 A,6,2036.4842705667597
HD 23249,3,2036.4949989210136
HD 190248,3,2036.5075371555704
HD 17206,3,2036.5145104275002
HD 141004,3,2036.5234171536704
HD 39091,3,2036.5269089861376
HD 160691,3,2036.5372199356939
HD 4391,6,2036.55799521856
HD 109358,3,2036.5863320900958
HD 58855,3,2036.5903566318252
HD 38393,4,2036.5918203169715
HD 219134,5,2036.5931901799852
HD 136352,3,2036.5958748673888
HD 165341 B,6,2036.606964019222
HD 84737,3,2036.6241824771841
HD 187691 A,3,2036.6255523401978
HD 30652,3,2036.62817062172
HD 69897,4,2036.6393670496366
HD 53705,3,2036.6424961942475
HD 134083,3,2036.6559415917313
HD 143761,3,2036.6585115392486
HD 17925,5,2036.6625364216343
HD 90839,5,2036.6649511666851
HD 4628,3,2036.6685369358702
HD 20807,4,2036.6699067988839
HD 82885 A,7,2036.6713440155959
HD 22484,3,2036.6814666247062
HD 101501,4,2036.68283648772
HD 43386,3,2036.6842063507336
HD 142860,3,2036.6855762137473
HD 146233,6,2036.7092678871022
HD 20766,4,2036.7124048039955
HD 217987,3,2036.725706570146
HD 55575,3,2036.7291641078752
HD 128621,4,2036.739128397935
HD 140538 A,7,2036.762201790178
HD 7570,3,2036.7635716531918
HD 3651 A,4,2036.767603409772
HD 16895 A,3,2036.7697885267125
HD 209100,5,2036.7731697254794
HD 219134,6,2036.774539588493
HD 4813,5,2036.779181966964
HD 19373,3,2036.7805518299776
HD 35296,5,2036.7915279285407
HD 17051,5,2036.8038106596232
HD 4391,7,2036.8517860430943
HD 43042,4,2036.8532083027967
HD 34411,3,2036.86138757023
HD 65907 A,4,2036.8627574332436
HD 165341 B,7,2036.8780113678745
HD 86728 A,3,2036.9181688721765
HD 114710,4,2036.921816902259
HD 210302,3,2036.9248892187725
HD 82885 A,8,2036.9366593423963
HD 128167,3,2036.9519207374774
HD 30495,4,2036.9577812277923
HD 84117,5,2036.9650969667202
HD 20766,5,2036.9708929187216
HD 212330 A,3,2036.9722627817353
HD 20807,5,2036.973632644749
HD 155885,4,2036.998357741177
HD 4614 A,3,2037.0036865672046
HD 46588 A,3,2037.0050564302182
HD 142373,3,2037.006426293232
HD 693,3,2037.0077961562456
HD 128620,4,2037.0355333094888
HD 146233,7,2037.0369031725024
HD 140538 A,8,2037.0401330135965
HD 10361,6,2037.0471608396533
HD 10780,5,2037.0486474708596
HD 90839,6,2037.0702592472433
HD 203608,4,2037.0760483314439
HD 88230,3,2037.0781785928893
HD 101501,5,2037.079548455903
HD 201092,3,2037.090079497814
HD 53705,4,2037.0931963461712
HD 131977,3,2037.1056473840968
HD 149661,3,2037.1080697937828
HD 100623 A,3,2037.1218659885913
HD 39091,4,2037.1362538901676
HD 4391,8,2037.1455768676285
HD 209100,6,2037.168859417124
HD 69897,5,2037.1760851718552
HD 17925,6,2037.1918691571782
HD 4813,6,2037.2118537574172
HD 95735,5,2037.2247453248651
HD 35296,6,2037.2291359380733
HD 17051,6,2037.2414071601456
HD 20766,6,2037.292394732077
HD 134083,4,2037.3046513717538
HD 95735,6,2037.3234109885148
HD 128621,5,2037.3402990511277
HD 146233,8,2037.3639622293751
HD 3651 A,5,2037.4201937456346
HD 128620,5,2037.436875462884
HD 84117,6,2037.4472932296944
HD 46588 A,4,2037.451519213428
HD 43042,5,2037.4628594716467
HD 90839,7,2037.4755673278014
HD 219134,7,2037.4914776919459
HD 65907 A,5,2037.4996725634774
HD 209100,7,2037.501042426491
HD 101501,6,2037.5045546029762
HD 143761,4,2037.52759063943
HD 20766,7,2037.550882846803
HD 30495,5,2037.566539353952
HD 10780,6,2037.5714257769305
HD 84737,4,2037.6239449486502
HD 187691 A,4,2037.6253148116639
HD 4813,7,2037.6445255478704
HD 35296,7,2037.666743947606
HD 69897,6,2037.7128032940739
HD 39091,5,2037.7387494791292
HD 101501,7,2037.7528484212849
HD 34411,4,2037.7542182842985
HD 17925,7,2037.7732566872419
HD 90839,8,2037.8808754083595
HD 10361,7,2037.9034957115568
HD 84117,7,2037.9294894926686
HD 209100,8,2037.9528965016964
HD 10780,7,2037.9626972336882
HD 20807,6,2037.9731554932066
HD 17051,7,2037.9803735236774
HD 693,4,2038.0058998218876
HD 43042,6,2038.0725106404966
HD 203608,5,2038.0749137569892
HD 4813,8,2038.0771973383237
HD 3651 A,6,2038.1029210677982
HD 35296,8,2038.1043519571385
HD 219134,8,2038.1796486721114
HD 30495,6,2038.1862563842212
HD 187691 A,5,2038.2285980505787
HD 69897,7,2038.2495214162925
HD 143761,5,2038.2624231642708
HD 84737,5,2038.2661731735461
HD 65907 A,6,2038.27768358412
HD 10361,8,2038.3146251040148
HD 95735,7,2038.3220766521513
HD 128620,6,2038.3272587121626
HD 3651 A,7,2038.3390730475026
HD 128621,6,2038.3404429105162
HD 46588 A,5,2038.3418176130695
HD 20766,8,2038.3477271259048
HD 84117,8,2038.4116857556428
HD 34411,5,2038.5301175488678
HD 39091,6,2038.5357656160331
HD 17925,8,2038.599849696754
HD 101501,8,2038.6038819656121
HD 43042,7,2038.6821618093466
HD 128621,7,2038.740243700698
HD 69897,8,2038.7862395385112
HD 30495,7,2038.8059734144904
HD 20807,7,2038.8192536841323
HD 203608,6,2038.8230942510313
HD 187691 A,6,2038.8318812894936
HD 17051,8,2038.8357782433718
HD 10780,8,2038.9621878685193
HD 128620,7,2038.9820255230884
HD 65907 A,7,2038.9913110431198
HD 693,5,2039.0053733505433
HD 128621,8,2039.0126472306079
HD 46588 A,6,2039.048554368878
HD 84737,6,2039.1138808504938
HD 203608,7,2039.2082610464486
HD 143761,6,2039.226022812396
HD 3651 A,8,2039.2354989998
HD 95735,8,2039.2700573842817
HD 43042,8,2039.2918129781965
HD 65907 A,8,2039.3460343925358
HD 30495,8,2039.394183595445
HD 187691 A,7,2039.4420138434768
HD 39091,7,2039.4629187392366
HD 34411,6,2039.5293044846667
HD 693,6,2039.6527920846836
HD 128620,8,2039.7436416490812
HD 84737,7,2039.7574789384034
HD 20807,8,2039.81877653259
HD 143761,7,2039.9882525975104
HD 46588 A,7,2040.0114555082446
HD 34411,7,2040.0216421054045
HD 203608,8,2040.2016470199392
HD 187691 A,8,2040.4398176303312
HD 39091,8,2040.462674602165
HD 34411,8,2040.5221989042243
HD 693,7,2040.649525887312
HD 84737,8,2040.7572414098695
HD 143761,8,2040.8669207387875
HD 46588 A,8,2041.0058634969257
HD 693,8,2041.2969446214522
