PlanetID,sma,ecc,StarName,Mp_MEarth,M_sol,FinalPosteriorEpoch,NDetectedEpochs
HD 142860_5,0.9203124555055368,0.1452384097592442,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211238982253369,0.12519538157705515,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200865767936502,0.11899848553933262,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9180758673663239,0.08704764914723996,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9190716456690753,0.11544315598324331,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9205931910910302,0.1485464080559093,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195861096215185,0.10587101194199311,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213537254924844,0.1449887255064027,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211309511528109,0.14703621173884546,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9219374295002037,0.1537524588554462,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9199711854607675,0.1337152516413883,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204030720971202,0.1412730657000525,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9194840611749145,0.1534366499376469,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197170606937441,0.10407591118240427,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9192905025536466,0.088279739323576,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200425520592166,0.11968502211150545,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9219819343598199,0.13816979988261796,HD 142860,8.017,1.25,8,7
HD 142860_5,0.91952850436087,0.14681260310382074,HD 142860,8.017,1.25,8,7
HD 142860_5,0.919531097245281,0.14567673410209142,HD 142860,8.017,1.25,8,7
HD 142860_5,0.921703263849893,0.1448458927612402,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9233371405439026,0.19256771732970998,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195149951325603,0.12226558663811275,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9196214673585903,0.13367568948636233,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201430568587677,0.07336745758131043,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9187976960100478,0.08888968705630543,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200185176982885,0.10712180803251906,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204992631726757,0.10234903217010978,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9194939466595589,0.14364303914084714,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9193277891294257,0.0891305045868041,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9218642684766913,0.14246514740470295,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9202855865209658,0.08122301657462504,HD 142860,8.017,1.25,8,7
HD 142860_5,0.919588160020077,0.05901900809804175,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203918940959954,0.09882033297590294,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213911759313095,0.16636789024808477,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200547644374433,0.1441061520314422,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9164779969610106,0.09380722164684399,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9177295956347785,0.09536166843699095,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195138842512296,0.11840078891394708,HD 142860,8.017,1.25,8,7
HD 142860_5,0.918827259844964,0.09087219974961706,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9209564607332466,0.15160373665742793,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9187953847030776,0.07966553742054305,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201949672379967,0.12660422505658933,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9222631217860583,0.07475217449732635,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9184354894960067,0.08355299809379114,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216537860551782,0.2801070417976021,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9210600182484904,0.12364440966260472,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195854460702708,0.10510310241721804,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9209281903238277,0.12849388424564104,HD 142860,8.017,1.25,8,7
HD 142860_5,0.919687446533251,0.08737856213960178,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9230275255748178,0.17505939932822553,HD 142860,8.017,1.25,8,7
