PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC_3hr,DetStatus_ETC_12hr,DetStatus_ETC_24hr,DetStatus,NDet,NObs,LastObs
HD 58855_8,HD 58855,3.679,0.02,1.665,3.725,20.402,1.16,2.445,,,3.703266,0.053392,4.599940630090684e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.057534
HD 7570_0,HD 7570,3.031,0.054,1.134,3.652,15.261,1.14,2.004,,,2.983836,0.967578,9.15000740483352e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.060274
HD 7570_1,HD 7570,0.15,0.071,0.941,0.218,15.261,1.14,2.004,,,0.158677,0.034254,1.0290579152283937e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.060274
HD 7570_2,HD 7570,1.977,0.063,1.73,3.716,15.261,1.14,2.004,,,1.977852,0.096092,4.8400383956624113e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.060274
HD 7570_3,HD 7570,3.034,0.079,1.364,1.913,15.261,1.14,2.004,,,3.264854,0.660499,7.798917248817873e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.060274
HD 7570_4,HD 7570,0.569,0.099,0.726,0.483,15.261,1.14,2.004,,,0.625302,0.234033,2.1914070016247838e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.060274
HD 84117_2,HD 84117,0.48,0.183,0.807,0.707,14.951,1.14,1.977,,,0.467986,0.04116,7.68045856365133e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.063014
HD 84117_3,HD 84117,2.469,0.127,0.583,0.157,14.951,1.14,1.977,,,2.601376,0.044784,1.713400443573302e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.063014
HD 84117_5,HD 84117,2.421,0.095,0.605,0.239,14.951,1.14,1.977,,,2.649936,0.516681,1.7925880280904752e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.063014
HD 190248_1,HD 190248,1.11,0.055,1.408,3.629,6.099,0.94,1.25,0.109264,156.574539,1.154544,0.839368,8.105346974889832e-10,26.54323649689365,0.007373121249137125,2.3586401243439523,0.6547775573880033,0.002388816617622314,1,1,1,1,1,1,1,2035.065753
