PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC,DetStatus,NDet,NObs,LastObs
HD 10360_0,HD 10360,0.111,0.132,2.009,3.749,8.189,0.78,0.345,0.013,27.94,0.113,0.156,1.5210588689812526e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.027
HD 10360_1,HD 10360,0.559,0.036,0.525,0.088,8.189,0.78,0.345,0.057,98.991,0.552,0.63,3.2326002688239257e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.027
HD 10360_2,HD 10360,3.873,0.13,2.182,10.62,8.189,0.78,0.345,0.403,39.103,3.38,0.219,4.6568986077437906e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.027
HD 10360_4,HD 10360,0.185,0.028,3.239,10.499,8.189,0.78,0.345,0.019,283.632,0.181,0.603,3.71995744718973e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.027
HD 10360_5,HD 10360,2.33,0.067,0.679,0.279,8.189,0.78,0.345,0.298,300.92,2.485,0.414,1.715563243815171e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.027
HD 131977_0,HD 131977,2.114,0.033,1.305,2.487,5.886,0.72,0.223,0.29,13.585,2.093,0.663,1.6548818702247068e-10,4043.0926639841805,1.1230812955511613,0.07112245505192454,0.33951130403382745,0.0012916871786751408,1,1,1,1,1,2035.029
HD 72905_1,HD 72905,0.661,0.069,0.5,0.04,14.439,1.08,0.973,0.039,252.306,0.62,0.146,5.724435970701801e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.03
HD 72905_3,HD 72905,0.899,0.099,2.776,14.209,14.439,1.08,0.973,0.038,56.219,0.85,0.795,1.7458028298677213e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.03
HD 72905_4,HD 72905,0.923,0.214,1.407,1.358,14.439,1.08,0.973,0.023,73.491,0.765,0.91,1.8213728303388052e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.03
HD 72905_5,HD 72905,3.175,0.086,0.525,0.039,14.439,1.08,0.973,0.131,107.772,2.961,0.034,5.987586971404043e-13,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.03
HD 219134_0,HD 219134,1.298,0.068,3.021,8.443,6.542,0.75,0.266,0.129,340.408,1.235,0.043,7.210567166108189e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.032
HD 219134_1,HD 219134,0.107,0.06,0.589,0.116,6.542,0.75,0.266,0.017,225.347,0.113,0.254,3.112722082436551e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.032
HD 219134_2,HD 219134,0.475,0.085,1.279,3.455,6.542,0.75,0.266,0.067,147.791,0.458,0.187,1.1350854114341532e-09,486.37145853637224,0.13510318292677007,0.3531222585507534,0.7815786004572143,0.014553706071376744,1,1,1,1,1,2035.032
HD 219134_3,HD 219134,2.999,0.067,1.913,5.997,6.542,0.75,0.266,0.419,165.243,2.865,0.185,4.327273255233418e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.032
HD 219134_4,HD 219134,0.285,0.083,1.716,7.189,6.542,0.75,0.266,0.044,88.887,0.285,0.328,7.2240971551245785e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.032
HD 219134_5,HD 219134,1.823,0.052,1.09,2.985,6.542,0.75,0.266,0.198,32.203,1.891,0.773,1.9551284679674557e-10,2263.247439911676,0.62867984441991,0.09888535412886776,0.3474628065393732,0.0015302322538415139,1,1,1,1,1,2035.032
HD 219134_7,HD 219134,0.986,0.056,2.277,12.655,6.542,0.75,0.266,0.143,91.459,1.031,0.135,3.1616896537140213e-10,1014.9391770205689,0.2819275491723802,0.15636978641768046,0.3476969658860569,0.0015372570342420244,1,1,1,1,1,2035.032
HD 149661_2,HD 149661,2.991,0.073,1.285,2.457,9.894,0.87,0.462,0.308,275.498,3.149,0.457,8.245201877638862e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.033
HD 149661_3,HD 149661,2.364,0.065,0.7,0.667,9.894,0.87,0.462,0.191,70.49,2.359,0.079,2.6654499461919146e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.033
HD 149661_5,HD 149661,3.155,0.051,2.936,9.958,9.894,0.87,0.462,0.268,27.881,2.997,0.586,4.4530899739051475e-10,754.8463483780731,0.20967954121613142,0.18433615647391893,0.3379539178196582,0.0012449655922500624,1,1,1,1,1,2035.033
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.913,11.108,0.86,0.532,0.06,127.399,0.763,0.112,1.2249881380861526e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.034
HD 3651 A_3,HD 3651 A,0.106,0.12,3.284,11.26,11.108,0.86,0.532,0.007,279.669,0.109,0.776,1.4224464775104008e-07,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.034
HD 3651 A_5,HD 3651 A,0.552,0.025,0.534,0.105,11.108,0.86,0.532,0.049,192.69,0.564,0.477,2.572716526622645e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.034
HD 192310_0,HD 192310,1.267,0.07,0.641,0.153,8.812,0.77,0.404,0.106,6.748,1.241,0.061,1.0664453437060797e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.036
HD 192310_1,HD 192310,1.472,0.082,2.73,11.177,8.812,0.77,0.404,0.163,51.065,1.592,0.131,3.6024113557008996e-10,1052.1292487018013,0.29225812463938927,0.15144229486747957,0.3392772450658511,0.0012846654096358493,1,1,1,1,1,2035.036
